enrolled,user,predicted_results
1,239786,1
1,279644,1
0,98290,0
1,170150,1
1,237568,1
1,65042,0
1,207226,1
0,363062,0
1,152296,1
0,64484,0
1,38108,1
0,359940,0
0,136089,0
1,14231,1
0,216038,0
1,18918,1
1,316730,1
1,28308,0
1,228387,0
1,69640,1
0,358264,0
0,348059,0
1,178743,1
0,167556,0
0,294101,0
0,192801,1
1,163983,1
0,298830,0
1,151790,1
1,20200,1
1,286678,1
0,329775,0
1,116814,0
1,83039,0
0,154510,0
0,20373,0
1,67506,1
1,187707,1
0,178087,1
1,292933,1
0,91037,1
0,211226,0
1,259560,1
0,189180,1
0,9137,0
1,337458,1
0,190667,1
1,371267,0
0,223348,1
0,191295,0
0,323703,0
0,276739,0
0,210837,0
0,64190,0
1,90073,1
0,165549,0
1,278010,1
0,173992,0
1,72269,1
0,154100,0
0,148100,0
1,139112,1
0,318259,0
1,287637,0
0,59267,0
0,363851,0
1,34837,0
1,294710,1
0,279724,0
1,202834,1
0,196560,0
1,31446,1
1,225230,0
0,355238,0
1,132524,0
0,92074,0
0,104781,0
0,275943,0
1,161758,0
1,60317,1
1,351868,1
0,174747,0
1,26899,1
1,83979,0
1,33061,1
0,6795,0
0,337416,0
1,113573,0
0,246438,1
1,211813,1
1,270344,1
1,242074,1
0,9491,0
0,270991,0
0,317052,0
1,340319,1
1,222124,1
1,251284,1
0,244353,1
0,65739,1
1,62235,1
1,103270,1
0,45599,0
1,217440,0
1,98829,1
0,296985,1
0,309117,1
0,189773,1
1,258724,0
1,132666,0
1,117276,0
0,77888,1
0,8686,0
1,135584,1
0,341920,0
0,205787,0
1,195324,1
0,178349,1
0,15812,0
0,302509,0
0,278019,0
1,197625,1
1,367798,1
0,146326,0
0,91145,0
1,147143,1
1,48189,0
1,107118,1
1,284544,1
0,297415,0
0,267532,0
1,224370,1
0,275328,1
0,174663,0
0,231248,0
0,110362,0
0,291214,0
0,32132,0
1,179948,1
1,243720,1
1,16339,1
1,295113,0
1,64188,1
0,26908,0
0,255352,1
0,202470,1
0,172779,0
1,297268,1
1,260262,1
0,10051,0
0,63963,1
1,2913,1
1,162644,1
1,72287,1
0,307780,0
1,197723,1
1,76727,1
0,21517,0
0,275496,0
0,44501,0
0,326023,0
0,890,1
0,238196,1
0,330871,1
1,195970,1
0,155315,0
1,27993,1
1,335612,1
0,107212,0
0,230631,0
1,267260,0
0,354466,0
0,354939,1
0,112200,0
0,283958,0
1,32299,0
0,345543,0
0,96458,0
1,133361,1
0,350953,0
0,116046,0
1,338176,1
0,61610,0
0,223628,0
0,263071,1
0,86537,0
1,174316,1
0,15457,1
0,285321,0
0,63484,1
1,151215,1
1,323316,1
0,138673,0
1,221868,1
1,308341,1
0,53013,0
1,225931,0
0,245741,0
0,182647,0
0,145180,1
0,147499,0
0,69865,0
1,26052,0
0,223255,0
0,72616,0
0,330098,0
0,36295,0
0,372942,0
0,351508,0
0,189530,0
0,167355,0
0,81583,1
0,147417,0
1,339010,0
1,180814,1
1,166277,1
1,349039,0
1,111130,1
1,302415,0
0,199460,0
0,210747,1
0,84174,0
0,238,0
1,180879,1
1,312885,0
1,77635,1
1,112791,1
0,35717,0
0,297348,0
0,135574,0
0,344776,0
0,93197,1
1,319764,1
0,163827,0
1,310042,1
1,64920,1
0,324367,0
0,246984,0
0,234173,1
1,17812,1
0,89415,0
1,268950,0
0,90504,0
1,115714,1
1,18731,1
0,34270,0
1,43984,1
1,360734,0
1,262899,1
1,361856,1
0,363303,1
1,253435,1
1,356504,1
0,125226,0
0,338842,1
1,163562,1
0,346386,0
1,199203,1
0,3776,1
0,43486,0
1,32014,0
1,91402,1
1,110717,1
1,201616,1
0,78978,0
0,38671,0
0,350992,0
0,237909,0
1,273084,1
0,133260,1
0,153358,0
1,304445,1
0,326551,0
0,227850,0
1,131663,1
1,334728,1
1,6193,1
1,357471,1
0,134754,0
0,355428,1
0,222615,1
0,313581,0
1,153033,1
0,175220,0
0,330523,0
1,115173,1
1,145889,1
0,83976,0
0,129466,0
0,136658,0
1,331492,1
0,313476,0
0,241331,0
0,116870,1
0,351612,1
0,359714,0
1,250607,0
1,151340,1
1,24819,1
1,218843,1
1,278673,0
1,326508,0
1,48845,0
0,297186,1
1,349944,1
1,269342,1
0,131329,1
0,123232,0
1,90839,1
1,347875,1
0,66898,0
0,306334,0
1,240928,0
0,6306,0
0,280559,1
0,154943,0
0,94232,0
1,74450,1
1,182762,0
0,79089,1
1,126556,0
0,221302,0
0,50180,0
1,153275,1
0,230943,0
0,120288,0
1,202647,1
1,334433,1
1,234768,1
1,152292,1
1,272938,1
1,306964,0
0,120183,0
0,276462,0
1,27996,1
0,106823,0
1,81065,1
0,105727,0
1,102899,0
0,44824,0
0,363267,1
1,303762,1
0,87783,1
1,136589,1
0,44559,1
1,343294,0
0,163663,0
0,162056,0
0,21054,0
1,317586,1
0,345267,0
0,278817,0
0,364907,0
1,327437,1
0,91906,1
0,332098,0
0,74429,0
1,52851,1
0,231771,0
0,125131,1
1,350273,1
0,287054,0
0,71436,0
0,318511,0
0,217249,1
1,323262,1
1,245104,1
0,232339,0
1,41835,1
0,219879,0
1,302886,1
1,185041,0
1,163814,0
0,306960,0
1,179558,1
1,259877,1
0,215345,0
0,55862,0
0,274769,0
0,258534,0
0,26346,1
0,118277,0
0,78427,1
0,77315,0
1,160290,1
0,147550,0
0,38408,0
0,145183,0
1,114144,1
1,307268,1
0,36356,1
1,99330,1
0,360702,0
1,260292,1
0,177360,0
1,70485,0
1,266159,1
0,348565,1
0,85584,0
0,133521,0
1,125280,1
0,228988,0
1,253949,1
1,212977,1
0,59052,0
0,250927,0
0,176775,0
0,239113,1
0,160487,0
1,358583,1
0,287371,1
0,29641,0
1,103451,0
1,109567,1
0,363360,0
0,36647,0
1,224473,1
0,255445,0
1,268523,1
1,340043,0
1,193471,0
0,148513,0
1,357201,0
1,66689,1
0,90439,1
0,74708,0
1,292301,1
1,198587,0
1,297973,0
1,354880,1
0,340675,1
1,319801,1
1,203115,1
1,228203,0
1,125669,1
0,192802,1
1,343777,1
1,353394,1
0,227986,0
0,66229,0
0,261223,0
1,88435,1
1,298991,0
1,36422,1
1,209997,1
1,48438,0
0,345012,0
1,368150,1
1,20770,1
0,321106,0
0,300930,1
0,257795,1
0,333618,0
1,208869,1
1,19541,1
1,38581,1
0,182789,1
1,26688,0
1,13427,1
0,250130,0
0,181354,1
1,204903,1
1,182149,1
0,341428,1
0,31514,1
1,68256,1
1,288670,1
0,116764,1
1,368120,1
1,208929,1
1,234489,1
1,192089,1
1,259309,1
1,115121,1
1,72126,1
1,43642,1
1,101389,1
0,283777,0
1,175763,1
1,317010,1
1,287866,1
1,368522,1
0,151167,0
0,306227,0
1,162326,1
1,233754,0
1,52532,1
0,191994,0
0,65564,0
1,19914,1
1,30700,1
0,23588,1
0,50484,0
0,314523,0
0,243908,0
1,248718,0
1,333760,1
1,240213,0
0,52305,0
0,16783,0
1,285183,1
0,81726,1
1,235581,1
1,294141,1
0,185508,0
0,142439,0
1,164013,0
1,187516,1
0,153541,0
0,30199,0
0,231041,0
1,112979,1
0,67325,1
1,79961,1
1,354186,1
0,140362,0
0,122912,0
1,264183,1
0,124,0
0,235257,0
1,109806,1
0,272881,1
0,1334,0
1,92487,1
1,292315,1
1,8266,0
1,77234,1
1,361505,0
1,303757,1
1,107048,1
1,7153,0
1,355152,1
1,228749,0
1,195859,0
0,242868,0
1,237257,1
0,67197,0
1,32678,1
1,67566,1
1,306856,0
0,141945,0
0,97243,0
1,198715,1
1,149119,1
1,248382,1
1,205243,1
0,35083,0
0,360256,0
1,126645,1
1,221761,1
0,90857,0
0,12164,0
1,168988,1
0,105732,0
1,250122,1
1,277234,1
0,74630,0
1,188458,1
1,262209,1
0,126134,0
0,236015,0
1,355549,1
0,180196,1
1,344596,1
1,280005,1
0,78476,0
1,306613,1
1,189695,1
1,205684,1
0,131286,0
1,288726,1
1,65260,1
1,363056,1
1,113658,1
0,186460,0
0,299503,1
0,307444,1
1,162287,1
0,90997,0
1,94600,0
0,98152,0
1,372289,1
0,40639,0
1,210609,1
0,290220,0
0,279393,1
0,194898,1
1,255768,1
0,318950,0
0,282811,0
1,187698,1
1,205562,1
0,311419,0
0,246823,0
1,296730,1
0,108528,1
0,94831,0
1,47286,1
0,272530,1
0,284102,0
1,366117,0
1,59819,1
0,364451,0
1,31319,1
0,158802,0
0,27654,1
0,51134,1
0,235888,0
0,169029,0
0,220007,0
1,180231,1
1,65908,1
0,35690,0
1,187307,1
1,41869,0
1,82309,1
0,18456,0
1,9647,0
0,62937,0
0,325332,0
0,366262,0
1,3448,1
0,200820,0
0,324366,1
1,60532,1
1,229111,1
1,147027,0
0,291684,0
1,27871,1
0,575,0
1,373622,1
0,289292,1
1,203387,1
1,196118,1
0,233274,1
1,232341,1
0,31875,0
1,173529,0
0,95739,0
0,130510,0
0,319367,1
0,127897,1
1,256804,1
0,360449,0
1,270970,1
1,39807,1
1,290914,1
1,259470,0
0,10489,0
0,88924,0
1,271488,1
0,184688,0
1,76443,1
1,166020,1
0,330932,0
1,158162,1
0,354674,0
0,87130,0
1,164553,1
0,91638,0
1,285320,1
0,131587,0
0,3450,1
0,177087,0
0,76158,0
1,13604,1
1,35972,1
0,72792,0
1,160741,1
1,206096,1
0,174641,1
1,223424,1
0,124793,0
1,327745,1
1,364971,1
0,31985,0
1,58147,1
1,75304,1
1,142046,1
0,343156,0
0,276033,0
1,35767,1
0,20235,1
0,277289,0
1,276745,1
0,231194,1
0,275771,0
1,231023,1
1,422,1
1,89185,1
1,208503,0
0,133986,0
0,152086,0
0,57414,0
0,308502,0
1,53392,1
1,33042,1
1,98504,1
0,244648,1
0,310528,0
0,135109,1
0,142189,0
1,57449,1
1,267594,1
1,64718,1
0,261448,0
0,352833,0
1,141919,1
0,79241,0
1,366805,0
1,20523,1
1,123964,1
0,233380,0
1,298578,1
1,138001,1
1,13012,1
1,309287,1
0,179160,0
0,298768,0
1,369754,1
1,272492,1
0,130988,0
0,328058,1
1,42425,1
0,205548,0
1,228681,1
1,340802,1
1,15228,1
1,360530,1
0,233088,0
0,63203,0
0,13880,1
1,26199,1
0,9944,0
1,222513,1
1,39267,1
1,10301,1
0,29793,0
1,306861,1
1,184823,1
0,103427,0
0,150782,0
1,231923,1
1,273852,1
0,190227,0
0,45760,1
0,156265,1
0,160416,0
1,59585,0
1,204469,0
0,37193,0
0,197586,1
0,282355,1
0,343872,0
0,230318,0
1,15435,1
0,102983,0
0,354592,0
0,47077,1
1,252150,0
0,136987,0
0,40482,1
1,303847,1
0,295000,0
1,362657,1
1,276851,1
0,277058,0
1,180264,1
1,55710,1
1,30797,1
1,136211,1
1,304452,1
0,92817,1
1,25219,1
1,74749,1
0,327664,1
1,171384,1
0,24270,1
1,23566,1
0,323430,0
1,328609,0
0,19461,0
1,282923,1
0,300120,0
0,65533,0
1,349598,1
0,228506,0
1,70046,1
0,159105,0
0,257267,0
0,72327,1
1,256710,0
1,164048,1
1,270310,1
0,250117,1
1,3839,1
0,297490,0
1,143818,0
1,309433,1
0,158444,1
0,31218,0
0,349049,0
1,17459,1
0,131591,0
1,203550,0
0,252022,0
0,5209,0
0,68969,0
1,9990,1
0,224964,0
0,85143,0
0,267547,1
1,109090,1
0,111910,1
1,290302,1
1,124950,1
0,294297,0
1,327599,1
1,252459,1
0,300388,0
0,264098,0
1,316383,1
1,29686,0
1,12064,1
1,278837,0
1,160407,1
0,360956,0
